scientificName,Birdtree_tiplabel
Buteo galapagoensis,Buteo_galapagoensis
Buteo jamaicensis,Buteo_jamaicensis
Buteo nitidus,Buteo_nitidus
Buteo platypterus,Buteo_platypterus
Geranoaetus polyosoma,Buteo_polyosoma
Buteo swainsoni,Buteo_swainsoni
Buteo ventralis,Buteo_ventralis
Buteogallus aequinoctialis,Buteogallus_aequinoctialis
Buteogallus anthracinus,Buteogallus_anthracinus
Buteogallus meridionalis,Buteogallus_meridionalis
Buteogallus urubitinga,Buteogallus_urubitinga
Cnemathraupis aureodorsalis,Buthraupis_aureodorsalis
Cnemathraupis eximia,Buthraupis_eximia
Buthraupis montana,Buthraupis_montana
Butorides striata,Butorides_striata
Butorides virescens,Butorides_virescens
Cacicus cela,Cacicus_cela
Cacicus chrysonotus,Cacicus_chrysonotus
Cacicus chrysopterus,Cacicus_chrysopterus
Cacicus haemorrhous,Cacicus_haemorrhous
Cacicus koepckeae,Cacicus_koepckeae
Cacicus sclateri,Cacicus_sclateri
Cacicus solitarius,Cacicus_solitarius
Cacicus uropygialis,Cacicus_uropygialis
Cairina moschata,Cairina_moschata
Calidris acuminata,Calidris_acuminata
Calidris alba,Calidris_alba
Calidris alpina,Calidris_alpina
Calidris bairdii,Calidris_bairdii
Calidris canutus,Calidris_canutus
Calidris ferruginea,Calidris_ferruginea
Calidris fuscicollis,Calidris_fuscicollis
Calidris himantopus,Calidris_himantopus
Calidris mauri,Calidris_mauri
Calidris melanotos,Calidris_melanotos
Calidris minuta,Calidris_minuta
Calidris minutilla,Calidris_minutilla
Calidris pusilla,Calidris_pusilla
Callipepla californica,Callipepla_californica
Calliphlox amethystina,Calliphlox_amethystina
Philodice mitchellii,Calliphlox_mitchellii
Callonetta leucophrys,Callonetta_leucophrys
Calochaetes coccineus,Calochaetes_coccineus
Calonectris diomedea,Calonectris_diomedea
Calonectris edwardsii,Calonectris_edwardsii
Calyptura cristata,Calyptura_cristata
Camarhynchus heliobates,Camarhynchus_heliobates
Camarhynchus pallidus,Camarhynchus_pallidus
Camarhynchus parvulus,Camarhynchus_parvulus
Camarhynchus pauper,Camarhynchus_pauper
Camarhynchus psittacula,Camarhynchus_psittacula
Campephilus gayaquilensis,Campephilus_gayaquilensis
Campephilus haematogaster,Campephilus_haematogaster
Campephilus leucopogon,Campephilus_leucopogon
Campephilus magellanicus,Campephilus_magellanicus
Campephilus melanoleucos,Campephilus_melanoleucos
Campephilus pollens,Campephilus_pollens
Campephilus robustus,Campephilus_robustus
Campephilus rubricollis,Campephilus_rubricollis
Camptostoma obsoletum,Camptostoma_obsoletum
Campylopterus calcirupicola,Campylopterus_largipennis
Campylopterus diamantinensis,Campylopterus_largipennis
Campylopterus duidae,Campylopterus_duidae
Campylopterus ensipennis,Campylopterus_ensipennis
Campylopterus falcatus,Campylopterus_falcatus
Campylopterus hyperythrus,Campylopterus_hyperythrus
Campylopterus largipennis,Campylopterus_largipennis
Campylopterus phainopeplus,Campylopterus_phainopeplus
Campylopterus villaviscensio,Campylopterus_villaviscensio
Campylorhamphus falcularius,Campylorhamphus_falcularius
Campylorhamphus procurvoides,Campylorhamphus_procurvoides
Campylorhamphus pusillus,Campylorhamphus_pusillus
Campylorhamphus trochilirostris,Campylorhamphus_trochilirostris
Campylorhynchus albobrunneus,Campylorhynchus_albobrunneus
Campylorhynchus fasciatus,Campylorhynchus_fasciatus
Campylorhynchus griseus,Campylorhynchus_griseus
Campylorhynchus nuchalis,Campylorhynchus_nuchalis
Campylorhynchus turdinus,Campylorhynchus_turdinus
Campylorhynchus zonatus,Campylorhynchus_zonatus
Cantorchilus griseus,Thryothorus_griseus
Cantorchilus guarayanus,Thryothorus_guarayanus
Cantorchilus leucopogon,Thryothorus_leucopogon
Cantorchilus leucotis,Thryothorus_leucotis
Cantorchilus longirostris,Thryothorus_longirostris
Cantorchilus nigricapillus,Thryothorus_nigricapillus
Cantorchilus superciliaris,Thryothorus_superciliaris
Capito auratus,Capito_auratus
Capito aurovirens,Capito_aurovirens
Capito brunneipectus,Capito_brunneipectus
Capito dayi,Capito_dayi
Capito hypoleucus,Capito_hypoleucus
Capito maculicoronatus,Capito_maculicoronatus
Capito niger,Capito_niger
Capito quinticolor,Capito_quinticolor
Capito squamatus,Capito_squamatus
Capito wallacei,Capito_wallacei
Capsiempis flaveola,Capsiempis_flaveola
Caracara plancus,Caracara_plancus
Cardellina canadensis,Wilsonia_canadensis
Cardellina pusilla,Wilsonia_pusilla
Cardinalis phoeniceus,Cardinalis_phoeniceus
Carduelis carduelis,Carduelis_carduelis
Cariama cristata,Cariama_cristata
Carpodectes hopkei,Carpodectes_hopkei
Carpornis cucullata,Carpornis_cucullata
Carpornis melanocephala,Carpornis_melanocephala
Caryothraustes canadensis,Caryothraustes_canadensis
Casiornis fuscus,Casiornis_fuscus
Casiornis rufus,Casiornis_rufus
Catamblyrhynchus diadema,Catamblyrhynchus_diadema
Catamenia analis,Catamenia_analis
Catamenia homochroa,Catamenia_homochroa
Catamenia inornata,Catamenia_inornata
Cathartes aura,Cathartes_aura
Cathartes burrovianus,Cathartes_burrovianus
Cathartes melambrotus,Cathartes_melambrotus
Catharus aurantiirostris,Catharus_aurantiirostris
Catharus maculatus,Catharus_dryas
Catharus fuscater,Catharus_fuscater
Catharus fuscescens,Catharus_fuscescens
Catharus minimus,Catharus_minimus
Catharus ustulatus,Catharus_ustulatus
Celeus elegans,Celeus_elegans
Celeus flavescens,Celeus_flavescens
Celeus flavus,Celeus_flavus
Celeus galeatus,Dryocopus_galeatus
Celeus grammicus,Celeus_grammicus
Celeus loricatus,Celeus_loricatus
Celeus lugubris,Celeus_lugubris
Celeus obrieni,Celeus_obrieni
Celeus ochraceus,Celeus_flavescens
Celeus spectabilis,Celeus_spectabilis
Celeus torquatus,Celeus_torquatus
Celeus undatus,Celeus_undatus
Cephalopterus ornatus,Cephalopterus_ornatus
Cephalopterus penduliger,Cephalopterus_penduliger
Ceratopipra chloromeros,Pipra_chloromeros
Ceratopipra cornuta,Pipra_cornuta
Ceratopipra mentalis,Pipra_mentalis
Ceratopipra rubrocapilla,Pipra_rubrocapilla
Cercibis oxycerca,Cercibis_oxycerca
Cercomacra brasiliana,Cercomacra_brasiliana
Cercomacra carbonaria,Cercomacra_carbonaria
Cercomacra cinerascens,Cercomacra_cinerascens
Cercomacra ferdinandi,Cercomacra_ferdinandi
Cercomacroides laeta,Cercomacra_laeta
Cercomacra manu,Cercomacra_manu
Cercomacra melanaria,Cercomacra_melanaria
Cercomacroides fuscicauda,Cercomacra_nigrescens
Cercomacroides nigrescens,Cercomacra_nigrescens
Cercomacra nigricans,Cercomacra_nigricans
Cercomacroides parkeri,Cercomacra_parkeri
Cercomacroides serva,Cercomacra_serva
Cercomacroides tyrannina,Cercomacra_tyrannina
Certhiaxis cinnamomeus,Certhiaxis_cinnamomeus
Certhiaxis mustelinus,Certhiaxis_mustelinus
Certhidea fusca,Certhidea_olivacea
Certhidea olivacea,Certhidea_olivacea
Chaetocercus astreans,Chaetocercus_astreans
Chaetocercus berlepschi,Chaetocercus_berlepschi
Chaetocercus bombus,Chaetocercus_bombus
Chaetocercus heliodor,Chaetocercus_heliodor
Chaetocercus jourdanii,Chaetocercus_jourdanii
Chaetocercus mulsant,Chaetocercus_mulsant
Chaetura andrei,Chaetura_vauxi
Chaetura brachyura,Chaetura_brachyura
Chaetura chapmani,Chaetura_chapmani
Chaetura cinereiventris,Chaetura_cinereiventris
Chaetura egregia,Chaetura_egregia
Chaetura meridionalis,Chaetura_meridionalis
Chaetura pelagica,Chaetura_pelagica
Chaetura spinicaudus,Chaetura_spinicaudus
Chaetura vauxi,Chaetura_vauxi
Chalcostigma herrani,Chalcostigma_herrani
Chalcostigma heteropogon,Chalcostigma_heteropogon
Chalcostigma olivaceum,Chalcostigma_olivaceum
Chalcostigma ruficeps,Chalcostigma_ruficeps
Chalcostigma stanleyi,Chalcostigma_stanleyi
Chalybura buffonii,Chalybura_buffonii
Chalybura urochrysia,Chalybura_urochrysia
Chamaepetes goudotii,Chamaepetes_goudotii
Chamaeza campanisona,Chamaeza_campanisona
Chamaeza meruloides,Chamaeza_meruloides
Chamaeza mollissima,Chamaeza_mollissima
Chamaeza nobilis,Chamaeza_nobilis
Chamaeza ruficauda,Chamaeza_ruficauda
Chamaeza turdina,Chamaeza_turdina
Charadrius alticola,Charadrius_alticola
Charadrius collaris,Charadrius_collaris
Charadrius falklandicus,Charadrius_falklandicus
Charadrius melodus,Charadrius_melodus
Charadrius modestus,Charadrius_modestus
Charadrius mongolus,Charadrius_mongolus
Charadrius nivosus,Charadrius_alexandrinus
Charadrius semipalmatus,Charadrius_semipalmatus
Charadrius vociferus,Charadrius_vociferus
Charadrius wilsonia,Charadrius_wilsonia
Charitospiza eucosma,Charitospiza_eucosma
Chauna chavaria,Chauna_chavaria
Chauna torquata,Chauna_torquata
Chelidoptera tenebrosa,Chelidoptera_tenebrosa
Chionis albus,Chionis_albus
Chionomesa fimbriata,Amazilia_fimbriata
Chionomesa lactea,Amazilia_lactea
Chiroxiphia boliviana,Chiroxiphia_boliviana
Chiroxiphia caudata,Chiroxiphia_caudata
Chiroxiphia lanceolata,Chiroxiphia_lanceolata
Chiroxiphia pareola,Chiroxiphia_pareola
Chlidonias hybrida,Chlidonias_hybrida
Chlidonias leucopterus,Chlidonias_leucopterus
Chlidonias niger,Chlidonias_niger
Chloephaga hybrida,Chloephaga_hybrida
Oressochen melanopterus,Chloephaga_melanoptera
Chloephaga picta,Chloephaga_picta
Chloephaga poliocephala,Chloephaga_poliocephala
Chloephaga rubidiceps,Chloephaga_rubidiceps
Chlorestes cyanus,Hylocharis_cyanus
Chlorestes eliciae,Hylocharis_eliciae
Chlorestes julie,Damophila_julie
Chlorestes notata,Chlorestes_notata
Chloris chloris,Carduelis_chloris
Chloroceryle aenea,Chloroceryle_aenea
Chloroceryle amazona,Chloroceryle_amazona
Chloroceryle americana,Chloroceryle_americana
Chloroceryle inda,Chloroceryle_inda
Chlorochrysa calliparaea,Chlorochrysa_calliparaea
Chlorochrysa nitidissima,Chlorochrysa_nitidissima
Chlorochrysa phoenicotis,Chlorochrysa_phoenicotis
Chlorophanes spiza,Chlorophanes_spiza
Chlorophonia cyanea,Chlorophonia_cyanea
Chlorophonia flavirostris,Chlorophonia_flavirostris
Chlorophonia pyrrhophrys,Chlorophonia_pyrrhophrys
Chlorornis riefferii,Chlorornis_riefferii
Chlorospingus canigularis,Chlorospingus_canigularis
Chlorospingus flavigularis,Chlorospingus_flavigularis
