Taxon	Birdtree_tiplabel	TaxCategory	DryDiagonal	Caatinga	Cerrado	Chaco	Endemic	IUCN	Comments
Amazona ochrocephala	Amazona_ochrocephala	SPECIES	x		x				
Amazona ochrocephala nattereri 		SUBSPECIES	x		x				
Amazona aestiva	Amazona_aestiva	SPECIES	x	x	x	x			
Amazona aestiva aestiva		SUBSPECIES	x	x	x				
Amazona aestiva xanthopteryx		SUBSPECIES	x		x	x			
Myrmorchilus strigilatus	Myrmorchilus_strigilatus	SPECIES	x	x	x	x	CA/CE/CH		
Myrmorchilus strigilatus strigilatus		SUBSPECIES	x	x	x				
Myrmorchilus strigilatus suspicax		SUBSPECIES	x		x	x			
Myrmophylax atrothorax	Myrmeciza_atrothorax	SPECIES	x		x				
Myrmophylax atrothorax melanura		SUBSPECIES	x		x				
Myrmotherula multostriata	Myrmotherula_multostriata	SPECIES	x		x				Marginal and occ in Tocantis
Formicivora grisea	Formicivora_grisea	SPECIES	x	x	x				
Formicivora grisea grisea		SUBSPECIES	x	x	x				
Formicivora iheringi	Formicivora_iheringi	SPECIES	x	x	x		CA/CE	NT	
Formicivora melanogaster	Formicivora_melanogaster	SPECIES	x	x	x				
Formicivora melanogaster bahiae		SUBSPECIES	x	x	x				"NE Brazil (extreme E Maranhão E to Rio Grande do Norte, S to N Bahia and W Pernambuco)."
Formicivora melanogaster melanogaster		SUBSPECIES	x		x				"C Brazil (S Mato Grosso E to S Bahia, S to W Mato Grosso do Sul, W São Paulo and N Minas Gerais)"
Formicivora rufa	Formicivora_rufa	SPECIES	x	x	x				
Formicivora rufa chapmani		SUBSPECIES	x	x	x				"EC Brazil (locally in Amapá, Pará, Maranhão and Piauí)"
Formicivora rufa rufa 		SUBSPECIES	x						"SC and E Brazil (S Amazonas and extreme E Acre E to C Mato Grosso and Goiás, and from coastal Ceará and Rio Grande do Norte, S to Mato Grosso do Sul and N São Paulo)"
Formicivora grantsaui	Stymphalornis_acutirostris	SPECIES	x	x			CA	EM	
Dysithamnus mentalis	Dysithamnus_mentalis	SPECIES	x	x	x				
Dysithamnus mentalis emiliae		SUBSPECIES	x	x	x				"NE Brazil (NE Pará E to Ceará and Paraíba, S to N Tocantins and Alagoas)."
Dysithamnus mentalis affinis		SUBSPECIES	x		x				"Brazil (S Mato Grosso, N Mato Grosso do Sul, S Tocantins and N Goiás)."
Dysithamnus mentalis mentalis		SUBSPECIES	x		x				"EC and SE Brazil (E Bahia, S Minas Gerais and S Mato Grosso do Sul S to N Rio Grande do Sul)"
Herpsilochmus atricapillus	Herpsilochmus_atricapillus	SPECIES	x	x	x	x			
Herpsilochmus longirostris	Herpsilochmus_longirostris	SPECIES	x		x		Q CE		cerrado near endemic?
Herpsilochmus sellowi	Herpsilochmus_sellowi	SPECIES	x	x	x				
Herpsilochmus pectoralis	Herpsilochmus_pectoralis	SPECIES	x	x	x		Q_CA/CE	VU	
Herpsilochmus rufimarginatus	Herpsilochmus_rufimarginatus	SPECIES	x	x					"marginal in cerrado, but preset in caatinga"
Sakesphorus luctuosus	Sakesphorus_luctuosus	SPECIES	x		x				
Sakesphorus luctuosus araguayae		SUBSPECIES	x		x				
Thamnophilus doliatus	Thamnophilus_doliatus	SPECIES	x		x	x			
Thamnophilus doliatus difficilis		SUBSPECIES	x		x				"EC Brazil (NE and extreme SE Pará, Maranhão and SW Piauí S to E Mato Grosso, W and S Goiás and extreme W Bahia)."
Thamnophilus capistratus	Thamnophilus_doliatus	SPECIES	x	x	x				
Thamnophilus torquatus	Thamnophilus_torquatus	SPECIES	x	x	x				
Thamnophilus palliatus	Thamnophilus_palliatus	SPECIES	x		x				
Thamnophilus palliatus palliatus		SUBSPECIES	x						"E of R Tapajós in N Maranhão, SE Pará and NE Mato Grosso, and coastal NE Brazil (Paraíba S to N Bahia)"
Thamnophilus pelzelni	Thamnophilus_pelzelni	SPECIES	x	x	x				
Thamnophilus ruficapillus	Thamnophilus_ruficapillus	SPECIES	x		x				
Thamnophilus ruficapillus ruficapillus		SUBSPECIES	x		x				
Thamnophilus amazonicus	Thamnophilus_amazonicus	SPECIES	x		x				
Thamnophilus amazonicus divaricatus		SUBSPECIES	x		x				
Thamnophilus caerulescens	Thamnophilus_caerulescens	SPECIES	x	x	x	x			
Thamnophilus caerulescens paraguayensis		SUBSPECIES	x		x				S Brazil (Mato Grosso do Sul)
Thamnophilus caerulescens caerulescens		SUBSPECIES	x		x	x			"SE Paraguay (E of R Paraguay except Concepción, Amambay and San Pedro), extreme N Argentina (Misiones), andN part of SE Brazil (Minas Gerais and SE Bahia S to W Paraná, W and NE São Paulo and Rio de Janeiro)"
Thamnophilus caerulescens ochraceiventer		SUBSPECIES	x		x				"EC Brazil (S Tocantins, Goiás, Distrito Federal, SC Bahia)"
Thamnophilus caerulescens cearensis		SUBSPECIES	x	x					"NE Brazil (Ceará, Pernambuco, Alagoas)."
Batara cinerea	Batara_cinerea	SPECIES	x			x			"Marginal, despite being an isolated population in Paraguay."
Batara cinerea argentina		SUBSPECIES	x			x			"E slope of Andes of S Bolivia (S Santa Cruz, Chuquisaca, Tarija) and NW Argentina (Jujuy, Salta, N Tucumán), W Paraguay (Boquerón, Presidente Hayes)."
Taraba major	Taraba_major	SPECIES	x	x	x	x			
Taraba major stagurus		SUBSPECIES	x	x	x				E and NE Brazil (E Maranhão E to Pernambuco and S to E Minas Gerais and Espírito Santo)
Taraba major major		SUBSPECIES	x		x	x			"SC Brazil (S Mato Grosso, S Goiás, W Minas Gerais, Mato Grosso do Sul and W São Paulo), W Paraguay (E to both banks of R Paraguay) and N Argentina (S to Córdoba and N Buenos Aires)."
Hypocnemoides maculicauda	Hypocnemoides_maculicauda	SPECIES	x		x				
Myrmoderus loricatus	Myrmeciza_loricata	SPECIES	x	x					
Pyriglena leuconota	Pyriglena_leuconota	SPECIES	x	x	x				
Cercomacra manu	Cercomacra_manu	SPECIES	x		x				
Cercomacra melanaria	Cercomacra_melanaria	SPECIES	x		x				
Cercomacra ferdinandi	Cercomacra_ferdinandi	SPECIES	x		x		CE	VU	
Drymophila ochropyga	Drymophila_ochropyga	SPECIES	x	x				NT	
Drymophila malura	Drymophila_malura	SPECIES	x		x				
Hypocnemis ochrogyna	Hypocnemis_ochrogyna	SPECIES	x		x			VU	
Melanopareia maximiliani			x			X	X		This was missing from the original list
Melanopareia torquata	Melanopareia_torquata	SPECIES	x	x	x				
Melanopareia torquata rufescens		SUBSPECIES	x		x				"C Brazil to E Mato Grosso do Sul, Minas Gerais and São Paulo) and extreme E Paraguay."
Melanopareia torquata torquata		SUBSPECIES	x	x					E Brazil in S Piauí and W Bahia.
Conopophaga cearae	Conopophaga_cearae	SPECIES	x	x				NT	
Conopophaga lineata	Conopophaga_lineata	SPECIES	x	x	x				Bahia S and W to Goiás; also S Mato Grosso (Serra das Araras)
Conopophaga lineata lineata		SUBSPECIES	x	x	x				"SC and SE Brazil (S Mato Grosso do Sul and Espírito Santo S to Rio Grande do Sul) to E Paraguay, NE Argentina (Misiones, Corrientes) and E Uruguay."
Conopophaga lineata vulgaris		SUBSPECIES	x						
Conopophaga roberti	Conopophaga_roberti	SPECIES	x	x	x				
Hylopezus ochroleucus	Hylopezus_ochroleucus	SPECIES	x	x	x		CA/CE	NT	
Scytalopus petrophilus	Scytalopus_speluncae	SPECIES	x		x				
Scytalopus novacapitalis	Scytalopus_novacapitalis	SPECIES	x		x		CE	EN	
Scytalopus diamantinensis	Scytalopus_speluncae	SPECIES	x	x			CA	EN	
Rhinocrypta lanceolata	Rhinocrypta_lanceolata	SPECIES	x			x			
Rhinocrypta lanceolata saturata		SUBSPECIES	x			x			SE Bolivia and W Paraguay
Rhinocrypta lanceolata lanceolata 		SUBSPECIES	x			x			N and C Argentina S to N Río Negro and S Buenos Aires
Formicarius colma	Formicarius_colma	SPECIES	x	x	x				
Formicarius colma amazonicus		SUBSPECIES	x	x	x				"Brazil S of R Amazon, from R Madeira E to N Maranhão and S to R Ji-Paraná and S Mato Grosso."
Formicarius colma ruficeps		SUBSPECIES	x	x					coastal E and SE Brazil from Pernambuco S to Rio Grande do Sul. Present in the Chapada diamantina 
Chamaeza campanisona	Chamaeza_campanisona	SPECIES	x	x					
Chamaeza campanisona campanisona		SUBSPECIES	x	x					E and SE Brazil locally in Ceará (Serra do Baturité) and Alagoas (Quebrangulo) and from S Bahia S to Santa Catarina.
Sclerurus macconnelli	Sclerurus_caudacutus	SPECIES	x		x				
Sclerurus scansor	Sclerurus_scansor	SPECIES	x		x				
Sclerurus cearensis	Sclerurus_scansor	SPECIES	x	x			CA	VU	
Geositta poeciloptera	Geositta_poeciloptera	SPECIES	x		x		CE	VU	
Dendrocincla fuliginosa	Dendrocincla_fuliginosa	SPECIES	x		x				Marginal. Check in subespécies
Sittasomus griseicapillus	Sittasomus_griseicapillus	SPECIES	x	x	x	x			
Sittasomus griseicapillus reiseri		SUBSPECIES	x	x	x				"NE Brazil (S Maranhão, Ceará and Pernambuco S to Tocantins and N and W Bahia)."
Sittasomus griseicapillus sylviellus		SUBSPECIES	x		x				"SE South America in SE and S Brazil (S from SE Goiás, Minas Gerais and Espírito Santo), SE Paraguay, NE Argentina (Misiones, NE Corrientes) and NE Uruguay."
Sittasomus griseicapillus griseicapillus		SUBSPECIES	x		x	x			"SE Bolivia (S Santa Cruz SW to Tarija), SC Brazil (SW Mato Grosso, Mato Grosso do Sul) and N and W Paraguay S to NC Argentina (S to Catamarca, Santiago del Estero and N Santa Fe)"
Xiphorhynchus atlanticus	Xiphorhynchus_fuscus	SPECIES	x	x				VU	
Xiphorhynchus fuscus	Xiphorhynchus_fuscus	SPECIES	x	x	x				
Xiphorhynchus fuscus pintoi		SUBSPECIES	x	x					arid interior of NE Brazil (W Bahia).
Xiphorhynchus fuscus fuscus		SUBSPECIES	x		x				"SE Brazil from S Goiás, E Minas Gerais and Espírito Santo (R Doce) S to NE and C Rio Grande do Sul, also S and SE Paraguay and NE Argentina (Misiones)."
Xiphorhynchus obsoletus	Xiphorhynchus_obsoletus	SPECIES	x		x				Marginal
Xiphorhynchus obsoletus obsoletus		SUBSPECIES	x		x				"N Brazil (lower R Negro E to Amapá and, S of Amazon, from R Madeira E to R Tocantins and S to W and N Mato Grosso)"
Xiphorhynchus guttatoides	Xiphorhynchus_guttatus	SPECIES	x	x	x				
Xiphorhynchus guttatoides eytoni		SUBSPECIES	x	x	x				E Amazon to Ceara (Serra do Buturité)
Campylorhamphus falcularius	Campylorhamphus_falcularius	SPECIES	x	x					Present in the south of the Caatinga
Campylorhamphus trochilirostris	Campylorhamphus_trochilirostris	SPECIES	x	x	x	x			
Campylorhamphus trochilirostris hellmayri		SUBSPECIES	x			x			"SW Paraguay (Ñeembucú) and N Argentina (Salta, Formosa and W Corrientes, S to La Rioja, Santiago del Estero, N Santa Fe and Entre Ríos)."
Campylorhamphus trochilirostris major		SUBSPECIES	x	x	x				"interior E and S Brazil, from Piauí, Ceará and W Pernambuco S to Minas Gerais and extreme W Paraná."
Dendroplex picus	Dendroplex_picus	SPECIES	x	x	x				
Dendroplex picus picus		SUBSPECIES	x	x	x				"E Brazil (lower R Negro E to Amapá and, S of Amazon, from R Madeira E to Ceará and Pernambuco, S to Goiás and, on Atlantic coast, to N Rio de Janeiro); unclear whether birds in SW Brazil (Pantanal) and those in NW Brazil (N bank of R Solimões)"
Lepidocolaptes angustirostris	Lepidocolaptes_angustirostris	SPECIES	x	x	x	x			
Lepidocolaptes angustirostris coronatus		SUBSPECIES	x	x	x				"NE Brazil from S and E Maranhão E to N Piauí, S to Tocantins and NW Bahia"
Lepidocolaptes angustirostris bahiae		SUBSPECIES	x	x					"NE Brazil in interior Bahia (E of R São Francisco); populations N of R São Francisco from Ceará E to Paraíba, S to E Piauí and Alagoas"
Lepidocolaptes angustirostris bivittatus		SUBSPECIES	x		x				"C and SE Brazil (Mato Grosso E to Goiás and Minas Gerais, and S to Rio de Janeiro and São Paulo; also in Pará along S bank of lower Amazon from R Tapajós E to Marajó I) and N and E Bolivia (La Paz, Beni, Santa Cruz)."
Lepidocolaptes angustirostris angustirostris		SUBSPECIES	x		x	x			SW Brazil (W Mato Grosso do Sul) and E Paraguay in drainages of R Paraguay and R Paraná; intergrades with praedatus in N and NE Argentina
Lepidocolaptes angustirostris praedatus		SUBSPECIES	x			x			N and C Argentina
Lepidocolaptes layardi	Lepidocolaptes_albolineatus	SPECIES	x		x				
Lepidocolaptes wagleri	Lepidocolaptes_squamatus	SPECIES	x	x	x		CA/CE	VU	
Lepidocolaptes squamatus	Lepidocolaptes_squamatus	SPECIES	x	x	x				"E and SE Brazil S and E of R São Francisco, from C Bahia and Minas Gerais"
Nasica longirostris	Nasica_longirostris	SPECIES	x		x				
Drymornis bridgesii	Drymornis_bridgesii	SPECIES	x			x			
Dendrocolaptes platyrostris	Dendrocolaptes_platyrostris	SPECIES	x	x	x				
Dendrocolaptes platyrostris intermedius		SUBSPECIES	x	x	x				"NE, C and SC Brazil, from SE Pará (Marabá), Maranhão, Ceará and W Pernambuco S to S Mato Grosso, Mato Grosso do Sul, Minas Gerais and Bahia; also adjacent E Paraguay (rarely farther W)."
Dendrocolaptes platyrostris platyrostris		SUBSPECIES	x		x				"E and SE Brazil (S Bahia and E Minas Gerais S to Rio Grande do Sul), also adjacent SE Paraguay, NE Argentina"
Dendrocolaptes picumnus	Dendrocolaptes_picumnus	SPECIES	x			x			
Dendrocolaptes picumnus pallescens		SUBSPECIES	x						"Chaco of e Bolivia, s Brazil and w Paraguay"
Xiphocolaptes major	Xiphocolaptes_major	SPECIES	x		x	x	Q_CE/CH		
Xiphocolaptes major major		SUBSPECIES	x			x			Paraguay and N Argentina
Xiphocolaptes major remoratus		SUBSPECIES	x		x				"SW Mato Grosso, Brazil."
Xiphocolaptes major castaneus 		SUBSPECIES	x		x				"NC and E Bolivia, SW Brazil (Mato Grosso do Sul) "
Xiphocolaptes falcirostris	Xiphocolaptes_falcirostris	SPECIES	x	x	x		CA/CE	VU	
Xiphocolaptes falcirostris falcirostris		SUBSPECIES	x	x	x				"NE Brazil locally from E Maranhão, Piauí and Ceará E to W Paraíba and C Pernambuco, S to NW Bahia"
Xiphocolaptes falcirostris franciscanus		SUBSPECIES	x	x	x				"E Brazil, W of R São Francisco, in W Bahia and N and NW Minas Gerais"
Xiphocolaptes albicollis	Xiphocolaptes_albicollis	SPECIES	x	x	x				
Xiphocolaptes albicollis bahiae		SUBSPECIES	x	x					E Brazil (E and C Bahia)
Xiphocolaptes albicollis albicollis		SUBSPECIES	x		x				"SE and S Brazil (S Bahia, S Goiás and Minas Gerais S to S Rio Grande do Sul)"
Xenops minutus	Xenops_minutus	SPECIES	x		x				
Xenops minutus genibarbis		SUBSPECIES	x	x	x				"C Brazil (R Madeira E to Piauí, S to S Mato Grosso and N Goiás)"
Xenops rutilans	Xenops_rutilans	SPECIES	x	x	x				
Xenops rutilans chapadensis		SUBSPECIES	x	x	x				"SW Brazil (Rondônia and Mato Grosso E to Maranhão, Piauí and Goiás)."
Xenops rutilans rutilans		SUBSPECIES	x		x				"SE Brazil (S from Paraíba, Bahia and Minas Gerais) S to NC Paraguay and NE Argentina"
Berlepschia rikeri	Berlepschia_rikeri	SPECIES	x		x				
Tarphonomus certhioides	Tarphonomus_certhioides	SPECIES	x			x			
Tarphonomus certhioides estebani		SUBSPECIES	x						"extreme SC Bolivia (Santa Cruz), N Argentina (Jujuy and Catamarca E to Chaco and S to Córdoba) and W Paraguay"
Tarphonomus certhioides luscinia		SUBSPECIES	x						W Argentina
Tarphonomus certhioides certhioides		SUBSPECIES	x						NE Argentina (E Formosa and C Corrientes S to E Río Negro and SW Buenos Aires);
Furnarius figulus	Furnarius_figulus	SPECIES	x	x	x				
Furnarius figulus figulus		SUBSPECIES	x	x	x				"E Brazil (E from Maranhão, S Bahia, N and E Minas Gerais)"
Furnarius leucopus	Furnarius_leucopus	SPECIES	x	x	x				
Furnarius leucopus araguaiae		SUBSPECIES	x		x				"Central Brazil (along the Rio Araguaia and Rio das Mortes in western Tocantins, eastern Mato Grosso, and possibly also in western Goiás)"
Furnarius leucopus assimilis		SUBSPECIES	x	x	x				"Eastern and southern Brazil (Maranhão east to Pernambuco, and south to Bahia and Mato Grosso do Sul),"
Furnarius rufus	Furnarius_rufus	SPECIES	x	x	x	x			
Furnarius rufus albogularis		SUBSPECIES	x	x	x				"E and SE Brazil (Tocantins, S Ceará, Alagoas and Bahia S to Goiás, São Paulo and Rio de Janeiro)."
Furnarius rufus paraguayae		SUBSPECIES	x			x			Paraguay and N Argentina
Furnarius cristatus	Furnarius_cristatus	SPECIES	x			x	CH		
Lochmias nematura	Lochmias_nematura	SPECIES	x	x	x				
Lochmias nematura nematura 		SUBSPECIES	x	x	x				"interior and SE Brazil (S from S Mato Grosso, S Goiás, Minas Gerais, S Bahia and Espírito Santo), E Paraguay, NE Argentina"
Asthenes baeri	Asthenes_baeri	SPECIES	x			x			
Asthenes baeri baeri 		SUBSPECIES	x			x			"Bolivia (E Tarija), W Paraguay, N and C Argentina"
Clibanornis rectirostris	Hylocryptus_rectirostris	SPECIES	x	x	x				
Automolus leucophthalmus	Automolus_leucophthalmus	SPECIES	x		x				
Automolus leucophthalmus sulphurascens		SUBSPECIES	x		x				"SC and SE Brazil (SE Mato Grosso, S Goiás and S Bahia S to Rio Grande do Sul)"
Megaxenops parnaguae	Megaxenops_parnaguae	SPECIES	x	x	x		CA/CE		
Automolus rufipileatus	Automolus_rufipileatus	SPECIES	x		x				Marginal
Automolus rufipileatus rufipileatus		SUBSPECIES	x						NW Maranhão
Dendroma rufa	Philydor_rufum	SPECIES	x		x				
Dendroma rufa chapadensis		SUBSPECIES	x		x				"SW Brazil (Mato Grosso, S Goiás; recorded also in extreme S Tocantins)"
Syndactyla dimidiata	Syndactyla_dimidiata	SPECIES	x		x		CE		
Syndactyla dimidiata dimidiata		SUBSPECIES	x		x				SW Brazil (s Mato Grosso)
Syndactyla dimidiata baeri		SUBSPECIES	x		x				SE Brazil (Goiás) to extreme ne Paraguay (Concepción)
Pseudoseisura unirufa	Pseudoseisura_unirufa	SPECIES	x		x				
Pseudoseisura lophotes			x			X			Missing
Pseudoseisura cristata	Pseudoseisura_cristata	SPECIES	x	x	x		Q_CA/CE		
Phacellodomus rufifrons	Phacellodomus_rufifrons	SPECIES	x	x	x	x			
Phacellodomus rufifrons rufifrons		SUBSPECIES	x	x	x				"E Brazil (S Maranhão, S Piauí and Bahia S to São Paulo)"
Phacellodomus rufifrons sincipitalis		SUBSPECIES	x		x				"S Brazil (S Mato Grosso, Mato Grosso do Sul), NC Paraguay and NW Argentina"
Phacellodomus ruber	Phacellodomus_ruber	SPECIES	x	x	x	x			
Phacellodomus sibilatrix	Phacellodomus_sibilatrix	SPECIES	x			x			
Anumbius annumbi	Anumbius_annumbi	SPECIES	x		x	x			
Schoeniophylax phryganophilus	Schoeniophylax_phryganophilus	SPECIES	x	x	x	x			
Schoeniophylax phryganophilus phryganophilus		SUBSPECIES	x		x	x			"S Brazil (Mato Grosso do Sul, S Rio Grande do Sul), Paraguay (except extreme E), NE Argentina (S to Santiago del Estero, Santa Fe and N Buenos Aires) and Uruguay."
Schoeniophylax phryganophilus petersi		SUBSPECIES	x	x	x				"E Brazil (N Minas Gerais, W Bahia;  N Piauí)"
Asthenes pyrrholeuca	Asthenes_pyrrholeuca	SPECIES	x			x			Not estricly from Chacona bioma....
Asthenes pyrrholeuca affinis		SUBSPECIES	x			x			C Argentina and Chile; winters to Bolivia and Paraguay
Asthenes pyrrholeuca pyrrholeuca		SUBSPECIES	x			x			NW Argentina
Certhiaxis cinnamomeus	Certhiaxis_cinnamomeus	SPECIES	x	x	x	x			Well only in proximity ot water...on wet Chaco.
Certhiaxis cinnamomeus cearensis		SUBSPECIES	x	x	x				"E Brazil (S Maranhão, Ceará, Piauí, Pernambuco, N Bahia)."
Certhiaxis cinnamomeus cinnamomeus		SUBSPECIES	x		x				NE Brazil (Pará E to N Maranhão).
Certhiaxis cinnamomeus russeolus		SUBSPECIES	x		x	x			"S Brazil (C Mato Grosso E to S Bahia, and S to Rio Grande do Sul), Paraguay, N Argentina"
Synallaxis hellmayri	Gyalophylax_hellmayri	SPECIES	x	x	x		CA/CE		
Synallaxis ruficapilla	Synallaxis_ruficapilla	SPECIES	x	x	x				
Synallaxis frontalis	Synallaxis_frontalis	SPECIES	x	x	x	x			
Synallaxis frontalis frontalis		SUBSPECIES	x	x	x	x			"E and c Brazil to Paraguay, Uruguay and n Argentina"
Synallaxis albescens	Synallaxis_albescens	SPECIES	x	x	x	x			
Synallaxis albescens albescens		SUBSPECIES	x	x	x				"E and S Brazil (Maranhão and Pernambuco W to Mato Grosso, S to Paraná), E Paraguay and NE Argentina (Misiones)."
Synallaxis albescens australis		SUBSPECIES	x			x			"C and E Bolivia (Beni S to Tarija and Santa Cruz), W Paraguay, NW and C Argentina"
Synallaxis spixi	Synallaxis_spixi	SPECIES	x	x	x				
Synallaxis hypospodia	Synallaxis_hypospodia	SPECIES	x	x	x				
Synallaxis albilora	Synallaxis_albilora	SPECIES	x		x				
Synallaxis simoni	Synallaxis_albilora	SPECIES	x		x		CE		
Synallaxis scutata	Synallaxis_scutata	SPECIES	x	x	x	X			"marginaal in Chaco, by present"
Synallaxis scutata scutata		SUBSPECIES	x	x	x				E and c Brazil
Asthenes luizae	Asthenes_luizae	SPECIES	x		x		CE	NT	
Cranioleuca vulpina	Cranioleuca_vulpina	SPECIES	x	x	x				
Cranioleuca vulpina reiseri		SUBSPECIES	x	x					"NE Brazil (Piauí, W Pernambuco, W Bahia)"
Cranioleuca vulpina vulpina		SUBSPECIES	x		x				"N and C Brazil (along R Amazon from extreme W Amazonas, and R Branco and lower R Negro, E to E Pará, and from lower R Madeira E and S to Mato Grosso, Goiás and W São Paulo),"
Cranioleuca semicinerea	Cranioleuca_semicinerea	SPECIES	x	x	x		Q_CA/CE		
Cranioleuca semicinerea semicinerea		SUBSPECIES	x	x	x				"NE Brazil (Ceará, Alagoas, s Bahia and n Minas Gerais)"
"NE Brazil (Ceará, Alagoas, s Bahia and n Minas Gerais)"		SUBSPECIES	x		x				E Brazil (s-c Goiás)
Cranioleuca pyrrhophia	Cranioleuca_pyrrhophia	SPECIES	x			x			
Cranioleuca pyrrhophia pyrrhophi		SUBSPECIES	x			x			"S Bolivia (lowland Santa Cruz and Tarija), W Paraguay, NE and C Argentina"
Neopelma pallescens	Neopelma_pallescens	SPECIES	x	x	x				
Tyranneutes stolzmanni	Tyranneutes_stolzmanni	SPECIES	x		x				
Pipra fasciicauda	Pipra_fasciicauda	SPECIES	x	x	x				
Pipra fasciicauda scarlatina		SUBSPECIES	x	x	x				
Manacus manacus	Manacus_manacus	SPECIES	x	x	x				
Manacus manacus purissimus		SUBSPECIES	x		x				
Manacus manacus gutturosus		SUBSPECIES	x	x					
Machaeropterus pyrocephalus	Machaeropterus_pyrocephalus	SPECIES	x		x				
Machaeropterus pyrocephalus pyrocephalus		SUBSPECIES	x		x				
Ilicura militaris	Ilicura_militaris	SPECIES	x		x				
Chiroxiphia pareola	Chiroxiphia_pareola	SPECIES	x	x	x				
Chiroxiphia pareola pareola		SUBSPECIES	x	x	x				
Antilophia bokermanni	Antilophia_bokermanni	SPECIES	x	x			CA	CR	
Antilophia galeata	Antilophia_galeata	SPECIES	x	x	x		CA/CE		
Oxyruncus cristatus	Oxyruncus_cristatus	SPECIES	x		x				
Oxyruncus cristatus cristatus		SUBSPECIES	x		x				
Terenotriccus erythrurus	Terenotriccus_erythrurus	SPECIES	x		x				Marginal
Terenotriccus erythrurus hellmayri 		SUBSPECIES	x		x				
Myiobius barbatus	Myiobius_barbatus	SPECIES	x	x	x				
Myiobius barbatus mastacalis		SUBSPECIES	x	x	x				
Myiobius atricaudus	Myiobius_atricaudus	SPECIES	x	x	x				
Myiobius atricaudus snethlagei		SUBSPECIES	x	x	x				
Schiffornis virescens	Schiffornis_virescens	SPECIES	x	x	x				
Schiffornis turdina	Schiffornis_turdina	SPECIES	x		x				Marginal
Schiffornis turdina wallacii 		SUBSPECIES	x		x				
Iodopleura isabellae	Iodopleura_isabellae	SPECIES	x		x				Marginal
Iodopleura isabellae paraensis		SUBSPECIES	x		x				
Tityra inquisitor	Tityra_inquisitor	SPECIES	x	x	x	x			
Tityra inquisitor inquisitor 		SUBSPECIES	x	x	x	x			
Tityra cayana	Tityra_cayana	SPECIES	x	x	x				
Tityra cayana braziliensis		SUBSPECIES	x	x	x				
Tityra semifasciata	Tityra_semifasciata	SPECIES	x		x				
Tityra semifasciata semifasciata 		SUBSPECIES	x		x				
Pachyramphus viridis	Pachyramphus_viridis	SPECIES	x	x	x	x			
Pachyramphus viridis viridis		SUBSPECIES	x	x	x	x			
Pachyramphus castaneus	Pachyramphus_castaneus	SPECIES	x	x	x				
Pachyramphus castaneus castaneus		SUBSPECIES	x	x	x				
Pachyramphus castaneus amazonus		SUBSPECIES	x		x				
Pachyramphus polychopterus	Pachyramphus_polychopterus	SPECIES	x	x	x	x			
Pachyramphus polychopterus polychopterus		SUBSPECIES	x	x					
Pachyramphus polychopterus spixii		SUBSPECIES	x		x	x			
Pachyramphus marginatus	Pachyramphus_marginatus	SPECIES	x		x				Marginal
Pachyramphus marginatus nanus		SUBSPECIES	x		x				
Pachyramphus minor	Pachyramphus_minor	SPECIES	x		x				Marginal
Pachyramphus validus	Pachyramphus_validus	SPECIES	x	x	x	x			
Pachyramphus validus validus		SUBSPECIES	x	x	x	x			
Xenopsaris albinucha	Xenopsaris_albinucha	SPECIES	x	x	x	x			
Xenopsaris albinucha albinucha		SUBSPECIES	x	x	x	x			
Querula purpurata	Querula_purpurata	SPECIES	x		x				
Phibalura flavirostris	Phibalura_flavirostris	SPECIES	x		x			NT	
Phibalura flavirostris flavirostris		SUBSPECIES	x						
Pyroderus scutatus	Pyroderus_scutatus	SPECIES	x	x	x				
Pyroderus scutatus scutatus		SUBSPECIES	x	x	x				
Procnias averano	Procnias_averano	SPECIES	x	x	x				
Procnias averano averano		SUBSPECIES	x	x	x				
Phytotoma rutila			x			X			
Procnias nudicollis	Procnias_nudicollis	SPECIES	x	x				NT	
Cotinga cayana	Cotinga_cayana	SPECIES	x		x				Marginal
Platyrinchus mystaceus	Platyrinchus_mystaceus	SPECIES	x	x	x				
Platyrinchus mystaceus cancromus		SUBSPECIES	x	x	x				"E Brazil (interior Maranhão E to Ceará and N Bahia, S to E Paraná and E Santa Catarina)."
Platyrinchus mystaceus bifasciatus 		SUBSPECIES	x		x				"S Brazil (C Mato Grosso E to C Goiás), possibly also N Bolivia (S Beni)"
Mionectes oleagineus	Mionectes_oleagineus	SPECIES	x		x				
Mionectes oleagineus oleagineus		SUBSPECIES	x		x				
Mionectes rufiventris	Mionectes_rufiventris	SPECIES	x		x				
Leptopogon amaurocephalus	Leptopogon_amaurocephalus	SPECIES	x	x	x	x			
Leptopogon amaurocephalus amaurocephalus		SUBSPECIES	x	x	x	x			
Corythopis torquatus	Corythopis_torquatus	SPECIES	x		x				Marginal
Corythopis torquatus anthoides		SUBSPECIES	x		x				
Corythopis delalandi	Corythopis_delalandi	SPECIES	x	x	x				
Phylloscartes eximius	Phylloscartes_eximius	SPECIES	x		x			NT	Marginal
Phylloscartes ventralis	Phylloscartes_ventralis	SPECIES	x		x	x			"Marginal, marginal in Chaco!"
Phylloscartes ventralis ventralis		SUBSPECIES	x		x				
Phylloscartes beckeri	Phylloscartes_beckeri	SPECIES	x	x				EM	
Phylloscartes roquettei	Phylloscartes_roquettei	SPECIES	x	x	x		CA/CE	EM	
Tolmomyias sulphurescens	Tolmomyias_sulphurescens	SPECIES	x	x	x	x			
