Taxon	Birdtree_tiplabel	TaxCategory	DryDiagonal	Caatinga	Cerrado	Chaco	Endemic	IUCN	Comments
Accipiter bicolor pileatus		SUBSPECIES	x		x	x			
Accipiter bicolor guttifer		SUBSPECIES	x	x					
Ictinia mississippiensis	Ictinia_mississippiensis	SPECIES	x		x	x		x	Migrande in south America
Ictinia plumbea	Ictinia_plumbea	SPECIES	x	x	x	x			
Busarellus nigricollis	Busarellus_nigricollis	SPECIES	x		x	x			
Busarellus nigricollis nigricollis		SUBSPECIES	x		x	x			
Rostrhamus sociabilis	Rostrhamus_sociabilis	SPECIES	x	x	x	x			
Rostrhamus sociabilis sociabilis		SUBSPECIES	x	x	x	x			
Geranospiza caerulescens	Geranospiza_caerulescens	SPECIES	x	x	x	x			
Geranospiza caerulescens gracilis		SUBSPECIES	x	x	x				
Geranospiza caerulescens gracilis		SUBSPECIES	x		x	x			
Geranoaetus polyosoma	Buteo_polyosoma	SPECIES	x			x			Migrant and Marginal
Geranoaetus polyosoma polyosoma		SUBSPECIES	x			x			
Heterospizias meridionalis	Buteogallus_meridionalis	SPECIES	x	x	x	x			
Urubitinga urubitinga	Buteogallus_urubitinga	SPECIES	x	x	x	x			
Buteogallus urubitinga urubitinga		SUBSPECIES	x	x	x	x			
Buteogallus coronatus	Harpyhaliaetus_coronatus	SPECIES	x	x	x	x			
Rupornis magnirostris	Buteo_magnirostris	SPECIES	x	x	x	x			
Rupornis magnirostris nattereri		SUBSPECIES	x	x					
Rupornis magnirostris saturatus		SUBSPECIES	x		x	x			
Parabuteo unicinctus	Parabuteo_unicinctus	SPECIES	x	x	x	x			
Parabuteo unicinctus unicinctus		SUBSPECIES	x	x	x	x			
Parabuteo leucorrhous		SUBSPECIES	x		x	x			Marginal
Geranoaetus albicaudatus	Buteo_albicaudatus	SPECIES	x	x	x	x			
Geranoaetus albicaudatus albicaudatus		SUBSPECIES	x	x	x	x			
Geranoaetus melanoleucus	Geranoaetus_melanoleucus	SPECIES	x	x	x	x			
Geranoaetus melanoleucus melanoleucus		SUBSPECIES	x	x	x	x			
Pseudastur polionotus	Leucopternis_polionotus	SPECIES	x		x				Marginal
Pseudastur albicollis	Leucopternis_albicollis	SPECIES	x		x				
Pseudastur albicollis albicollis		SUBSPECIES	x		x				
Buteo nitidus	Buteo_nitidus	SPECIES	x	x	x	x			
Buteo nitidus pallidus		SUBSPECIES	x	x	x	x			
Buteo platypterus	Buteo_platypterus	SPECIES	x		x				Migrant of the Noth America
Buteo platypterus platypterus		SUBSPECIES	x		x				
Buteo brachyurus	Buteo_brachyurus	SPECIES	x	x	x	x			
Buteo brachyurus brachyurus		SUBSPECIES	x	x	x	x			
Buteo swainsoni	Buteo_swainsoni	SPECIES	x		x	x			Migrant of the Noth America
Buteo albonotatus	Buteo_albonotatus	SPECIES	x	x	x	x			
Morphnus guianensis	Morphnus_guianensis	SPECIES	x		x			NT	Marginal
Harpia harpyja	Harpia_harpyja	SPECIES	x		x			VU	
Spizaetus tyrannus	Spizaetus_tyrannus	SPECIES	x	x	x				NOt in Chaco
Spizaetus tyrannus serus		SUBSPECIES	x	x	x	x			
Spizaetus melanoleucus	Spizaetus_melanoleucus	SPECIES	x		x				
Spizaetus ornatus	Spizaetus_ornatus	SPECIES	x		x			NT	
Spizaetus ornatus ornatus		SUBSPECIES	x		x				
Eurypyga helias	Eurypyga_helias	SPECIES	x		x				
Eurypyga helias helias		SUBSPECIES	x		x				
Aramus guarauna	Aramus_guarauna	SPECIES	x	x	x	x			
Aramus guarauna guarauna		SUBSPECIES	x	x	x	x			
Micropygia schomburgkii	Micropygia_schomburgkii	SPECIES	x		x				
Micropygia schomburgkii chapmani		SUBSPECIES	x		x				
Rallus longirostris	Rallus_longirostris	SPECIES	x		x	x			Specie Coastal
Rallus longirostris crassirostris		SUBSPECIES	x		x	x			
Aramides ypecaha	Aramides_ypecaha	SPECIES	x	x	x	x			ONly wet Chaco
Aramides mangle	Aramides_mangle	SPECIES	x	x					"species associated with mangroves (Coastal), but enters the Caatinga"
Aramides cajaneus	Aramides_cajanea	SPECIES	x	x	x	x			
Aramides cajaneus cajaneus		SUBSPECIES	x	x	x	x			
Amaurolimnas concolor	Amaurolimnas_concolor	SPECIES	x		x				
Amaurolimnas concolor castaneus		SUBSPECIES	x		x				
Anurolimnas viridis	Anurolimnas_viridis	SPECIES	x	x	x				
Anurolimnas viridis viridis		SUBSPECIES	x	x	x				
Laterallus melanophaius	Laterallus_melanophaius	SPECIES	x	x	x	x			
Laterallus melanophaius melanophaius		SUBSPECIES	x	x	x	x			
